Source	Relation	Target	Sites	Source data ID	Source change	 Source change pval	Target data ID	Target change	Target change pval
CDK2	phosphorylates	MTA2	T439;T438;S435;S440	CDK2-active-by-network-sig	1.0		MTA2-S435	6.821874533163902	0.0010896763720922298
CDK2	phosphorylates	STMN1	S25;S38	CDK2-active-by-network-sig	1.0		STMN1-S38	3.757216473507061	0.023348641568276207
MAPK1	phosphorylates	MYO9B	T1346	MAPK1-T185	-8.115629694133986	2.9883179717054957E-4	MYO9B-T1346	-6.55319159917453	0.0014255585185990664
CDK2	phosphorylates	EYA3	T268;T269;S266;S271	CDK2-active-by-network-sig	1.0		EYA3-S262-T269	5.003309562072366	0.006715684205620853
CDK2	phosphorylates	EYA3	T268;T269;S266;S271	CDK2-active-by-network-sig	1.0		EYA3-S266	6.597050107064298	0.0013643869023078903
PRKCD	phosphorylates	BLVRA	S33;S21;S237;S230	PRKCD-T141	4.159589580104252	0.015613964886960652	BLVRA-S230	3.7603601559663544	0.023275356106794653
PRKCD	phosphorylates	BLVRA	S33;S21;S237;S230	PRKCD-T507	6.287107525849024	0.0018601325583822437	BLVRA-S230	3.7603601559663544	0.023275356106794653
PRKCD	phosphorylates	BLVRA	S33;S21;S237;S230	PRKCD-S645	3.6716393970624317	0.02543473811355823	BLVRA-S230	3.7603601559663544	0.023275356106794653
MAPK1	phosphorylates	PGK1	S203	MAPK1-T185	-8.115629694133986	2.9883179717054957E-4	PGK1-S203	-5.806055838781521	0.003009275765076812
CDK2	phosphorylates	MARCKS	S118;S26;S135;S147;S27;S134;S131;T133;S132;T150	CDK2-active-by-network-sig	1.0		MARCKS-T120-S131-S132	6.090094387132355	0.0022651950994541092
CDK2	phosphorylates	MARCKS	S118;S26;S135;S147;S27;S134;S131;T133;S132;T150	CDK2-active-by-network-sig	1.0		MARCKS-S135	3.9523870998313484	0.019208793695410842
AKT1	phosphorylates	NUP133	S33;S57	AKT1-S126-S129	-3.765850439695305	0.023147917953801053	NUP133-S57-S59-S60	-15.429419556743285	1.991077788163303E-7
AKT1	phosphorylates	NUP133	S33;S57	AKT1-S129	-3.8191178544500604	0.0219471529406463	NUP133-S57-S59-S60	-15.429419556743285	1.991077788163303E-7
CDK6	phosphorylates	TCF3	S139;S359;S379;S134;T355	CDK6-active-by-network-sig	1.0		TCF3-S341-S354-T355	100.0	0.0
