Source	Relation	Target	Sites	Source data ID	Source change	 Source change pval	Target data ID	Target change	Target change pval
CDK1	phosphorylates	CD3EAP	S285	CDK1-T161	-3.6939770842003345	0.024872883519506606	CD3EAP-S285	-3.736131847601202	0.023846165563281087
CDK1	phosphorylates	CD3EAP	S285	CDK1-inactive-by-network-sig	-1.0		CD3EAP-S285	-3.736131847601202	0.023846165563281087
CDK2	phosphorylates	MTA2	T439;T438;S435;S440	CDK2-Y15	4.375578410625614	0.0125808632325355	MTA2-S435	-8.087675441330568	3.073032719933296E-4
CDK2	phosphorylates	MTA2	T439;T438;S435;S440	CDK2-inactive-by-network-sig	-1.0		MTA2-S435	-8.087675441330568	3.073032719933296E-4
CDK2	phosphorylates	LARP1	T649;T303;S774	CDK2-Y15	4.375578410625614	0.0125808632325355	LARP1-S774	-3.4033080049323403	0.03326305341762976
CDK2	phosphorylates	LARP1	T649;T303;S774	CDK2-inactive-by-network-sig	-1.0		LARP1-S774	-3.4033080049323403	0.03326305341762976
CDK2	phosphorylates	CEP76	S83	CDK2-Y15	4.375578410625614	0.0125808632325355	CEP76-S83	-10.697884835447784	2.259267463443087E-5
CDK2	phosphorylates	CEP76	S83	CDK2-inactive-by-network-sig	-1.0		CEP76-S83	-10.697884835447784	2.259267463443087E-5
CDK2	phosphorylates	PRKAR1A	T209;S83	CDK2-inactive-by-network-sig	-1.0		PRKAR1A-S83	-6.2416020455127175	0.0019467342664192962
CDK2	phosphorylates	PRKAR1A	T209;S83	CDK2-Y15	4.375578410625614	0.0125808632325355	PRKAR1A-S83	-6.2416020455127175	0.0019467342664192962
CDK1	phosphorylates	EZH2	T345;T487	CDK1-T161	-3.6939770842003345	0.024872883519506606	EZH2-T345	-5.977751450999309	0.0025345188796940346
CDK1	phosphorylates	EZH2	T345;T487	CDK1-inactive-by-network-sig	-1.0		EZH2-T345	-5.977751450999309	0.0025345188796940346
CDK2	phosphorylates	EZH2	T416;T345	CDK2-inactive-by-network-sig	-1.0		EZH2-T345	-5.977751450999309	0.0025345188796940346
CDK2	phosphorylates	EZH2	T416;T345	CDK2-Y15	4.375578410625614	0.0125808632325355	EZH2-T345	-5.977751450999309	0.0025345188796940346
CDK2	phosphorylates	HNRNPK	S216	CDK2-inactive-by-network-sig	-1.0		HNRNPK-S216	-4.038807030053356	0.01761847819849473
CDK2	phosphorylates	HNRNPK	S216	CDK2-Y15	4.375578410625614	0.0125808632325355	HNRNPK-S216	-4.038807030053356	0.01761847819849473
CDK1	phosphorylates	HNRNPK	S216	CDK1-T161	-3.6939770842003345	0.024872883519506606	HNRNPK-S216	-4.038807030053356	0.01761847819849473
CDK1	phosphorylates	HNRNPK	S216	CDK1-inactive-by-network-sig	-1.0		HNRNPK-S216	-4.038807030053356	0.01761847819849473
NEK6	phosphorylates	NUP98	S612;S623;T536;S822;T546;T653;S608;S839;T529;S606;S595;T553;T670;S591	NEK6-T202-S206	-3.042299900838803	0.04772500040716693	NUP98-S839	-8.601817633010533	1.8377146083881847E-4
CDK2	phosphorylates	SLAIN2	S48	CDK2-inactive-by-network-sig	-1.0		SLAIN2-S48	-4.223525592753274	0.014646914313728906
CDK2	phosphorylates	SLAIN2	S48	CDK2-Y15	4.375578410625614	0.0125808632325355	SLAIN2-S48	-4.223525592753274	0.014646914313728906
CDK2	phosphorylates	RBL2	T417;S1080;S688;S413;S952;T1097;T642;S639;S662;T694;S1044;S1068;S1112	CDK2-inactive-by-network-sig	-1.0		RBL2-S639	-3.3620033777364893	0.0346657407591412
CDK2	phosphorylates	RBL2	T417;S1080;S688;S413;S952;T1097;T642;S639;S662;T694;S1044;S1068;S1112	CDK2-inactive-by-network-sig	-1.0		RBL2-T642	-3.1896722708423164	0.04118536637295365
CDK2	phosphorylates	RBL2	T417;S1080;S688;S413;S952;T1097;T642;S639;S662;T694;S1044;S1068;S1112	CDK2-Y15	4.375578410625614	0.0125808632325355	RBL2-T642	-3.1896722708423164	0.04118536637295365
CDK2	phosphorylates	RBL2	T417;S1080;S688;S413;S952;T1097;T642;S639;S662;T694;S1044;S1068;S1112	CDK2-Y15	4.375578410625614	0.0125808632325355	RBL2-S639	-3.3620033777364893	0.0346657407591412
AKT1	phosphorylates	FLNA	S2152	AKT1-S129	4.457448525737535	0.011591902027452373	FLNA-S2152	3.0325701044153197	0.04819162132751717
AKT1	phosphorylates	FLNA	S2152	AKT1-S129	4.457448525737535	0.011591902027452373	FLNA-S2152-S2158	3.2171991489078997	0.04006712329469435
CDK1	phosphorylates	NIFK	T238	CDK1-T161	-3.6939770842003345	0.024872883519506606	NIFK-T234-T238	-3.3795684826510533	0.034062149972401805
CDK1	phosphorylates	NIFK	T238	CDK1-inactive-by-network-sig	-1.0		NIFK-T234-T238	-3.3795684826510533	0.034062149972401805
CDK2	phosphorylates	RB1	S612;S249;S811;T821;S567;T356;S807;S230;T252;S608;T373;T826	CDK2-Y15	4.375578410625614	0.0125808632325355	RB1-T601-S612	-6.865222001443345	0.001043450779269713
CDK2	phosphorylates	RB1	S612;S249;S811;T821;S567;T356;S807;S230;T252;S608;T373;T826	CDK2-inactive-by-network-sig	-1.0		RB1-T601-S612	-6.865222001443345	0.001043450779269713
CDK1	phosphorylates	LIG1	S76	CDK1-T161	-3.6939770842003345	0.024872883519506606	LIG1-S76	-7.772789286288339	4.2103723404171355E-4
CDK1	phosphorylates	LIG1	S76	CDK1-inactive-by-network-sig	-1.0		LIG1-S76	-7.772789286288339	4.2103723404171355E-4
CDK1	phosphorylates	MPHOSPH8	S149;T334;S164;T385	CDK1-T161	-3.6939770842003345	0.024872883519506606	MPHOSPH8-S164	-5.988202871000894	0.0025081675029014036
CDK1	phosphorylates	MPHOSPH8	S149;T334;S164;T385	CDK1-inactive-by-network-sig	-1.0		MPHOSPH8-S164	-5.988202871000894	0.0025081675029014036
CDK2	phosphorylates	LIG1	S76;T233;S91;T197;S51;T195	CDK2-inactive-by-network-sig	-1.0		LIG1-S76	-7.772789286288339	4.2103723404171355E-4
CDK2	phosphorylates	LIG1	S76;T233;S91;T197;S51;T195	CDK2-inactive-by-network-sig	-1.0		LIG1-T195	-3.1276902094219152	0.04381889291890198
CDK2	phosphorylates	LIG1	S76;T233;S91;T197;S51;T195	CDK2-Y15	4.375578410625614	0.0125808632325355	LIG1-S76	-7.772789286288339	4.2103723404171355E-4
CDK2	phosphorylates	LIG1	S76;T233;S91;T197;S51;T195	CDK2-Y15	4.375578410625614	0.0125808632325355	LIG1-T195	-3.1276902094219152	0.04381889291890198
RB1	phosphorylates	ATF2	T69;T71	RB1-S780	-3.2414378880412382	0.039107622269285804	ATF2-T69-T71	3.011479568725824	0.04921880226031469
CDK2	phosphorylates	ANKRD17	S2042;S2044;S2045;S2401	CDK2-Y15	4.375578410625614	0.0125808632325355	ANKRD17-S2401	-6.080396395198562	0.0022872698104293675
CDK2	phosphorylates	ANKRD17	S2042;S2044;S2045;S2401	CDK2-inactive-by-network-sig	-1.0		ANKRD17-S2401	-6.080396395198562	0.0022872698104293675
CDK1	phosphorylates	EIF4EBP1	T70;S83	CDK1-inactive-by-network-sig	-1.0		EIF4EBP1-T70-S101	-3.236108988522276	0.039316579119331514
CDK1	phosphorylates	EIF4EBP1	T70;S83	CDK1-T161	-3.6939770842003345	0.024872883519506606	EIF4EBP1-T70-S101	-3.236108988522276	0.039316579119331514
CDK1	phosphorylates	EIF4EBP1	T70;S83	CDK1-T161	-3.6939770842003345	0.024872883519506606	EIF4EBP1-T70	-3.322347796244277	0.03606805183336725
CDK1	phosphorylates	EIF4EBP1	T70;S83	CDK1-inactive-by-network-sig	-1.0		EIF4EBP1-T70	-3.322347796244277	0.03606805183336725
CDK1	phosphorylates	UBA1	S4;S835	CDK1-T161	-3.6939770842003345	0.024872883519506606	UBA1-S835	-6.867148605269209	0.0010414423983047233
CDK1	phosphorylates	UBA1	S4;S835	CDK1-inactive-by-network-sig	-1.0		UBA1-S835	-6.867148605269209	0.0010414423983047233
AKT1	phosphorylates	BAD	S75;S99;S118;S136;S112;S134	AKT1-S129	4.457448525737535	0.011591902027452373	BAD-S134	6.02242892935192	0.0024237752605886314
CDK1	phosphorylates	EIF4G1	S1231	CDK1-T161	-3.6939770842003345	0.024872883519506606	EIF4G1-S1231	-4.106976216780412	0.016457463165553153
CDK1	phosphorylates	EIF4G1	S1231	CDK1-inactive-by-network-sig	-1.0		EIF4G1-S1231	-4.106976216780412	0.016457463165553153
CDK1	phosphorylates	TUBB3	S172	CDK1-inactive-by-network-sig	-1.0		TUBB3-S172	-3.6279636429265634	0.026570235843908642
CDK1	phosphorylates	TUBB3	S172	CDK1-T161	-3.6939770842003345	0.024872883519506606	TUBB3-S172	-3.6279636429265634	0.026570235843908642
CDK2	phosphorylates	SUPT5H	S666;T775;T791	CDK2-inactive-by-network-sig	-1.0		SUPT5H-S666	-4.748720542143116	0.008662771767010944
CDK2	phosphorylates	SUPT5H	S666;T775;T791	CDK2-Y15	4.375578410625614	0.0125808632325355	SUPT5H-S666	-4.748720542143116	0.008662771767010944
CDK1	phosphorylates	SUPT5H	S666	CDK1-inactive-by-network-sig	-1.0		SUPT5H-S666	-4.748720542143116	0.008662771767010944
