Source	Relation	Target	Sites	Source data ID	Source change	 Source change pval	Target data ID	Target change	Target change pval
ATM	phosphorylates	FANCI	S559;S556;S730;S972;S1121	ATM-active-by-network-sig	1.0		FANCI-S1121	5.313439807365324	0.004924956645380174
CDK1	phosphorylates	RANGAP1	S428;S442;T409	CDK1-T161	9.862533807644574	5.2090195783893734E-5	RANGAP1-T419-S442	3.97716093972704	0.018738764370953565
SRC	phosphorylates	MAPK1	T185;Y187	SRC-S17	-3.6096096319751974	0.027062409103824653	MAPK1-T185	-6.908164958977626	9.995904039119016E-4
CDK2	phosphorylates	EYA3	T268;T269;S266;S271	CDK2-T14	5.295682219110851	0.005013193112449743	EYA3-S255-T268	-5.009460369825354	0.006674504098432151
CDK1	phosphorylates	CREB1	S270;S271	CDK1-T161	9.862533807644574	5.2090195783893734E-5	CREB1-S271	5.057587637721164	0.006360885780138048
PRKCD	phosphorylates	BLVRA	S33;S21;S237;S230	PRKCD-T141	4.25641000684878	0.014173092492571149	BLVRA-S230	5.505826346971429	0.004063029720974498
PRKCD	phosphorylates	BLVRA	S33;S21;S237;S230	PRKCD-T507	4.3770854562736154	0.012561917576922488	BLVRA-S230	5.505826346971429	0.004063029720974498
PKN1	phosphorylates	HLCS	S79	PKN1-T774	12.560362752121652	3.508356891668285E-6	HLCS-S79	5.257586458800777	0.005207858944662913
CHEK1	phosphorylates	SETMAR	S508	CHEK1-S280	-6.5867433062451815	0.001378522085477268	SETMAR-S508	7.738941878886929	4.355321771414289E-4
CHEK1	phosphorylates	SETMAR	S508	CHEK1-S317	3.9486012801813204	0.019281652552261885	SETMAR-S508	7.738941878886929	4.355321771414289E-4
CHEK1	phosphorylates	SETMAR	S508	CHEK1-S296	7.173718605059574	7.664672363456582E-4	SETMAR-S508	7.738941878886929	4.355321771414289E-4
ATM	phosphorylates	SP1	S56;S101	ATM-active-by-network-sig	1.0		SP1-S56-S59	3.675652774087748	0.025332863487353308
ATM	phosphorylates	SP1	S56;S101	ATM-active-by-network-sig	1.0		SP1-S56	3.9443074523005084	0.01936462265176586
CDK1	phosphorylates	UBA1	S4;S835	CDK1-T161	9.862533807644574	5.2090195783893734E-5	UBA1-S835	3.775113257679941	0.022934492987363164
MAPK1	phosphorylates	NUP153	S614;S516;S338;T369;S522;T413;S334;S257;S320;T388;S529	MAPK1-T185	-6.908164958977626	9.995904039119016E-4	NUP153-S614	-7.003396504283865	9.087900084473739E-4
MAPK1	phosphorylates	NUP153	S614;S516;S338;T369;S522;T413;S334;S257;S320;T388;S529	MAPK1-T185	-6.908164958977626	9.995904039119016E-4	NUP153-S516-S522	-18.40463204307172	1.0161781729729551E-8
SRC	phosphorylates	INPPL1	Y987;Y986	SRC-S17	-3.6096096319751974	0.027062409103824653	INPPL1-Y986-S1003	-5.526019249710824	0.003981808166312868
CDK2	phosphorylates	CTTNBP2NL	S563	CDK2-T14	5.295682219110851	0.005013193112449743	CTTNBP2NL-S563	-8.506339962750413	2.0218246772061346E-4
STAT3	downregulates-expression	MCL1		STAT3-Y705	-3.9709333974230385	0.018855824940299498	MCL1	9.48575775130944	7.592551596702357E-5
ATM	phosphorylates	RAD50	S635	ATM-active-by-network-sig	1.0		RAD50-S635	6.1110740179136105	0.002218167181707642
CDK2	phosphorylates	C2orf49	T198;T197;S193	CDK2-T14	5.295682219110851	0.005013193112449743	C2orf49-S193-T198	-4.1487470355415645	0.0157841811180237
CDK2	phosphorylates	C2orf49	T198;T197;S193	CDK2-T14	5.295682219110851	0.005013193112449743	C2orf49-S193	-4.073102022016592	0.017024496151388475
CDK2	phosphorylates	C2orf49	T198;T197;S193	CDK2-T14	5.295682219110851	0.005013193112449743	C2orf49-S189-S193	-6.0736018679280726	0.0023028636439031826
CDK2	phosphorylates	C2orf49	T198;T197;S193	CDK2-T14	5.295682219110851	0.005013193112449743	C2orf49-S182-S189-S193	-5.083448179167418	0.006198498589957036
ATM	phosphorylates	CREB1	S97;S107;S133;S111;S121;T100	ATM-active-by-network-sig	1.0		CREB1-S108-S111-S114	5.628632967868115	0.0035934843797638116
BRCA1	upregulates-expression	ASPM		BRCA1-S1457-Y1463-S1466	6.418307261316932	0.00163141545886214	ASPM	8.04476670251036	3.207762550900828E-4
BRCA1	upregulates-expression	ASPM		BRCA1-S1457	5.989592225489433	0.0025046851887677857	ASPM	8.04476670251036	3.207762550900828E-4
CDK1	phosphorylates	KAT7	T85;T88	CDK1-T161	9.862533807644574	5.2090195783893734E-5	KAT7-S80-T88	6.9794142672370265	9.308482718872746E-4
MAPK1	phosphorylates	NUP133	T63;T10;S45;S267;S131;T28;S50	MAPK1-T185	-6.908164958977626	9.995904039119016E-4	NUP133-T63	-6.565922251468442	0.0014075252599000583
CDK2	phosphorylates	MCM7	S365;S121	CDK2-T14	5.295682219110851	0.005013193112449743	MCM7-S121	-3.848133963995174	0.021319482264782728
CDK2	phosphorylates	MCM2	S53;S108;S41;S139;S13;S27;S40	CDK2-T14	5.295682219110851	0.005013193112449743	MCM2-S139	-3.8549483447005484	0.021174697067184917
CDK2	phosphorylates	MCM2	S53;S108;S41;S139;S13;S27;S40	CDK2-T14	5.295682219110851	0.005013193112449743	MCM2-S26-S27	-6.1936385466786374	0.0020423819153599873
CDK2	phosphorylates	MCM3	T722	CDK2-T14	5.295682219110851	0.005013193112449743	MCM3-T713-T722	-4.7687602213823475	0.008490900474027837
PAK1	phosphorylates	PGAM1	S118;S23	PAK1-T423	5.448448407430514	0.004302975979409318	PGAM1-S118	4.578258201934894	0.010272773819929082
ATM	phosphorylates	BRCA1	S438;S1283;S1457;S1524;S1547;S320;S353;S420;S1142;S1340;S1330;S1495;S1387;S1189;S1497;S1376;S1542;S284;S1410;S1466;S1477;S1423	ATM-active-by-network-sig	1.0		BRCA1-S1457	5.989592225489433	0.0025046851887677857
ATM	phosphorylates	BRCA1	S438;S1283;S1457;S1524;S1547;S320;S353;S420;S1142;S1340;S1330;S1495;S1387;S1189;S1497;S1376;S1542;S284;S1410;S1466;S1477;S1423	ATM-active-by-network-sig	1.0		BRCA1-S1457-Y1463-S1466	6.418307261316932	0.00163141545886214
ATR	phosphorylates	BRCA1	S1280;T1394;S1096;T1347;S1457;T291;S1524;S320;S353;S1143;S1298;S1387;S1233;S1376;S1410;S1466;S1423	ATR-active-by-network-sig	1.0		BRCA1-S1457-Y1463-S1466	6.418307261316932	0.00163141545886214
ATR	phosphorylates	BRCA1	S1280;T1394;S1096;T1347;S1457;T291;S1524;S320;S353;S1143;S1298;S1387;S1233;S1376;S1410;S1466;S1423	ATR-active-by-network-sig	1.0		BRCA1-S1457	5.989592225489433	0.0025046851887677857
CDK1	phosphorylates	UBE2I	S71	CDK1-T161	9.862533807644574	5.2090195783893734E-5	UBE2I-S71	4.024097915897094	0.017879545734684088
ATM	phosphorylates	EYA3	S266	ATM-active-by-network-sig	1.0		EYA3-S266	9.375171922906079	8.480365430241221E-5
